Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\data\index.ts                          | TypeScript         |        126 |          0 |          5 |        131 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\index.css                              | PostCSS            |        612 |         25 |        110 |        747 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\layouts\AdminLayout.tsx                | TypeScript JSX     |        159 |          4 |          9 |        172 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\layouts\Layout.tsx                     | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\main.tsx                               | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Checkout.tsx                     | TypeScript JSX     |        193 |          4 |         24 |        221 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Favorites.tsx                    | TypeScript JSX     |         79 |          0 |          7 |         86 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Home.tsx                         | TypeScript JSX     |        124 |         10 |         14 |        148 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Liquids.tsx                      | TypeScript JSX     |        578 |         31 |         55 |        664 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\MixLiquids.tsx                   | TypeScript JSX     |        669 |         19 |         51 |        739 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Products.tsx                     | TypeScript JSX     |        349 |         15 |         23 |        387 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\StoreDetail.tsx                  | TypeScript JSX     |         78 |          0 |          7 |         85 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\StoreProducts.tsx                | TypeScript JSX     |         98 |          3 |          9 |        110 |
