"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "Properties", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Accessories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Atomisers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Batteries.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Coils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Cotton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\ProductDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 3, 6, 110
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Pyrex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Resistors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\VapeBoxes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\VapeKits.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 10, 138
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\routes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 2, 83
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\services\ratings.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\services\translationService.ts", "TypeScript", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 25, 35, 219
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\styles\mobile.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 6, 12, 71
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 2, 8, 120
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\utils\currency.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\utils\performance.ts", "TypeScript", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 28, 47, 329
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tailwind.config.cjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.app.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\tsconfig.node.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\vite.config.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 2, 34
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\package-lock.json", "JSON", 0, 0, 2047, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2048
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 1303, 683, 14419, 28, 4264, 8981, 4, 702, 2, 16, 839, 1818, 33059
